Genus;[Clostridium];[Eubacterium];Acetobacter;Acinetobacter;Actinobacillus;Actinomyces;Aeriscardovia;Aeromicrobium;Afipia;Agrobacterium;Alcanivorax;Alkanindiges;Alloiococcus;Anaerococcus;Arcanobacterium;Arsenicicoccus;Arthrobacter;Atopobium;Bacillus;Bacteroides;Bartonella;Bdellovibrio;Bifidobacterium;Blastococcus;Bombiscardovia;Brevibacterium;Brevundimonas;Brochothrix;Brooklawnia;Bulleidia;Campylobacter;Candidatus Arthromitus;Carnobacterium;Cellulomonas;Chelonobacter;Chlamydia;Chroococcidiopsis;Chryseobacterium;Citrobacter;Clostridium;Corynebacterium;Devosia;Dialister;Enhydrobacter;Enterococcus;Epulopiscium;Exiguobacterium;Finegoldia;Friedmanniella;Frigoribacterium;Fusobacterium;Gallibacterium;Gallicola;Gemella;Gordonia;Haemophilus;Helcococcus;Helicobacter;Humicoccus;Hymenobacter;Hyphomicrobium;Intrasporangium;Jonquetella;Kaistobacter;Kingella;Kocuria;Lactobacillus;Lactococcus;Legionella;Leuconostoc;Luteococcus;Macrococcus;Marinococcus;Massilia;Megasphaera;Methylobacterium;Methylopila;Microbacterium;Micrococcus;Microlunatus;Mobiluncus;Mucispirillum;Mycoplasma;Nakamurella;Neisseria;Nocardioides;Novosphingobium;Olsenella;Oscillospira;p-75-a5;Paenibacillus;Paracoccus;Pedobacter;Peptococcus;Peptoniphilus;Peptostreptococcus;Peredibacter;ph2;Phycicoccus;Planktothrix;Prevotella;Propionibacterium;Propionicimonas;Pseudomonas;Pseudonocardia;Psychrobacter;Reyranella;Rhizobium;Rhodococcus;Rhodoplanes;Roseomonas;Rothia;Rubellimicrobium;Rudanella;Saccharibacillus;Sanguibacter;Sharpea;Shigella;Sphingomonas;Sphingopyxis;Spirosoma;Sporocytophaga;Staphylococcus;Stenotrophomonas;Streptobacillus;Streptococcus;Suttonella;Truepera;Turicibacter;Varibaculum;Veillonella;Weissella;Wolbachia;Yonghaparkia
FPS035;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;14;209;0;0;0;0;0;0;0;0;0;0;72;0;0;26;0;0;0;0;0;4;0;0;818;21;0;0;0;0;24;0;10;0;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2419;0;0;0;0;85;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;335;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;724;113;0;0;85;266;0;0;10;0
FPS036;0;0;0;0;0;9;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;594;0;0;10;3909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;537;0;0;0;0;172;0;0;0;0;0;7;0;178;0;0;0
FPS038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;0;0;25;0;0;0;0;0;0;110;0;0;0;48;0;0;0;0;0;0;0;0;0;0;205;593;0;0;0;150;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2209;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;61;0;0;214;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;604;0;0;0;0;0;0;282;0;0;0;0;226;10;0;17;0
FPS039;0;149;4;0;0;37;23;0;0;0;0;0;0;0;0;0;0;157;0;76;0;0;0;0;110;0;5;0;0;18;0;0;0;0;0;0;0;0;0;44;579;0;0;21;464;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;320;0;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;1262;0;8;0;0;0;0;0;0;0;0;15;0;493;0;16;0
FPS040;0;0;0;0;6;128;810;0;2;0;0;0;0;0;104;0;0;125;0;106;0;0;158;0;100;0;0;0;36;9;167;0;0;0;0;9;0;0;0;202;984;0;53;0;65;0;0;0;0;0;76;404;0;0;0;0;20;29;0;0;0;0;0;2;0;0;5885;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;41;0;96;0;11;0;0;120;0;0;214;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;109;0;0;0;0;245;234;0;11;0
FPS041;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;332;0;0;0;0;0;0;0;0;0;0;311;0;76;0;0;0;0;0;0;0;0;360;411;0;217;0;37;0;0;0;0;0;0;239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453;0;0;768;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;525;0;0;16;0
FPS042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;143;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;19;417;0;116;18;0;0;0;0;0;0;0;427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;420;0;0;0;240;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;447;0;0;0;0;118;0;0;0;0
FPS044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;0;0;312;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;180;278;0;157;0;515;74;0;0;0;0;0;315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;823;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;120;0;0;383;0;0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;564;0;0;0;55;272;180;0;0;0
FPS045;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;88;342;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;570;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;253;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4659;0;0;0;0;0;0;0;70;0;0;0;332;0;0;5;0
FPS046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;11;0;0;369;0;0;0;432;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;0;0;0;0;17;0;0;134;0;0;0;0;30;0;0;0
FPS047;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;124;0;8;0;32;0;4;0;0;0;0;18;286;0;149;0;491;0;0;0;0;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;343;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;26;11;0;176;0;0;0;0;120;0;108;0;0;0;0;114;0;0;0;0
FPS049;0;0;0;0;0;127;6;0;0;0;0;0;0;0;25;0;0;19;0;0;0;0;0;0;0;0;0;0;49;0;92;0;0;0;0;0;0;0;0;214;295;0;0;0;1650;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;68;68;25;0;79;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1223;0;0;0;0;0;0;147;52;0;0;793;113;0;0;0;0
FPS050;0;0;0;0;0;319;0;0;0;0;0;0;0;0;38;0;0;339;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;327;267;0;125;0;328;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;116;9;0;202;0;0;0;32;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1392;0;0;0;0;0;0;519;0;0;0;0;340;0;0;5;0
FPS052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;234;0;0;0;0;0;0;0;0;0;0;276;0;0;0;0;0;0;0;0;0;850;700;467;0;142;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;56;0;0;0;0;151;0;0;586;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;273;264;0;0;137;305;0;0;0;0
FPS053;20;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;91;4;102;0;0;0;0;44;0;0;0;41;0;104;0;0;0;0;0;0;0;0;3584;101;0;114;2;1462;0;0;0;0;0;0;136;71;0;0;0;0;0;0;0;4;0;57;0;0;0;3463;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;51;337;0;0;229;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162;0;0;0;76;275;104;0;0;0
FPS054;0;0;0;0;38;0;69;0;0;0;0;0;0;0;0;0;0;425;0;0;0;0;0;0;105;0;0;0;17;0;0;0;0;0;0;0;0;0;0;49;131;0;158;0;695;0;0;0;0;0;0;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;117;163;0;117;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184;0;0;0;260;313;164;0;0;0
FPS055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;356;0;0;0;0;0;0;20;0;0;0;243;0;103;0;0;0;0;0;0;0;0;21;563;0;136;0;46;0;0;0;0;0;0;286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;28;0;0;0;0;0;0;108;0;0;411;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1027;0;0;0;0;0;0;596;0;0;0;0;479;0;0;0;0
FPS056;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;382;0;0;13;3147;0;0;0;0;0;0;58;0;0;0;0;0;19;0;0;0;0;0;0;0;4;227;0;0;0;0;0;0;0;0;5;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;7;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;391;0;0;0;0;142;0;0;0;0;0;0;0;0;0;0;0
FPS058;0;0;0;0;0;50;0;0;0;0;4;0;0;0;39;0;0;77;0;0;0;0;4;0;0;0;0;0;21;0;0;0;13;0;0;0;0;0;0;29;801;0;52;9;361;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;12;0;0;72;0;0;321;0;0;0;227;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;73;0;0;0;492;141;0;0;0
FPS059;0;25;0;0;0;40;21;0;0;72;0;0;0;0;0;0;0;335;0;0;0;0;0;6;354;0;0;0;221;0;0;0;0;0;0;0;0;0;0;104;945;0;0;0;880;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;889;0;0;0;0;0;0;0;0;0;3;0;0;19;0;7;0;0;0;7;0;0;0;0;0;16;0;0;0;0;0;0;9;0;0;0;0;13;14;0;0;39;0;8;0;0;16;0;0;0;37;59;0;0;0;0;0;0;0;0;0;4;0;316;168;0;0;0
FPS060;0;0;0;0;0;0;206;0;0;0;0;0;0;0;43;0;0;150;0;0;0;0;0;0;122;0;0;0;67;0;0;0;0;0;0;0;0;0;0;9;322;0;79;0;4827;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;265;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;172;0;0;0;158;90;746;0;0;0
FPS061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;78;0;429;0;0;0;0;0;0;0;0;122;0;2281;0;0;0;0;0;0;0;0;213;330;0;171;11;605;0;0;0;0;0;335;682;0;0;0;0;0;0;0;0;0;0;122;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;194;0;9;0;157;322;256;0;413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;932;11;0;0;0;447;0;0;0;0
FPS062;0;0;0;0;3;0;112;0;0;0;0;0;0;0;72;0;0;92;0;0;0;0;60;0;0;0;0;0;219;0;20;0;0;0;0;0;0;0;0;1099;723;0;76;0;4282;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;2;0;298;97;0;240;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;539;186;0;0;230;369;453;0;12;0
FPS065;0;0;0;0;0;0;114;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;5;0;862;492;0;0;18;527;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;5050;0;4;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;121;10;0;0;0;0;0;0;0;0;0;0;0;0;33;0;333;0;0;0;0;0;0;0;140;0;0;188;0;0;8;0;28
FPS066;0;9;0;0;191;75;0;0;0;0;0;0;0;0;14;0;0;151;0;153;0;0;0;0;117;0;0;0;54;13;99;0;0;0;0;0;0;0;0;300;250;0;116;0;798;0;0;0;0;0;164;379;142;0;0;0;117;0;0;0;0;0;0;0;0;0;766;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;103;0;213;0;0;0;0;221;78;0;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;291;0;0;0;0;0;0;421;0;0;0;0;244;133;0;35;0
FPS067;0;0;0;0;0;241;21;0;0;0;0;0;0;0;177;0;0;263;0;0;0;0;0;0;0;0;0;0;103;0;350;0;0;0;0;0;0;0;0;389;521;0;170;0;314;0;0;0;0;0;189;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;123;0;0;0;105;426;181;0;295;0;0;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1982;0;0;0;0;0;0;938;824;0;0;0;204;0;0;0;0
FPS069;0;0;0;0;0;0;7;0;0;0;0;0;0;0;271;0;0;401;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;0;0;0;0;175;654;0;79;18;3934;0;0;0;0;0;0;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;109;0;0;0;0;0;0;0;302;0;0;0;26;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;1206;13;0;0;0;0;0;279;0;0;0;0;390;0;0;0;0
FPS070;0;0;0;0;107;228;0;0;0;0;0;0;0;0;21;0;0;166;0;346;0;0;0;0;0;0;0;0;62;0;111;0;0;0;0;0;0;0;0;318;706;0;134;0;0;0;0;0;0;0;149;314;0;0;0;0;0;0;0;0;0;0;37;0;0;0;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;39;0;49;120;0;0;127;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;984;0;0;0;0;261;260;0;19;0
FPS071;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;520;0;124;0;0;0;0;0;0;0;0;154;0;657;0;0;0;0;0;0;0;0;497;548;0;141;0;224;87;0;0;0;0;370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;217;0;0;0;0;238;0;0;9;0;0;0;419;85;0;462;0;0;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;300;0;0;0;188;592;0;0;14;0
FPS072;0;0;0;4;0;106;0;0;0;0;0;0;0;0;15;0;0;301;0;241;0;0;0;0;0;0;0;0;125;0;318;19;0;0;0;0;0;0;0;687;114;0;131;3;0;0;0;0;0;0;197;138;0;0;0;0;0;0;0;0;0;0;128;0;0;0;1302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;90;0;56;0;0;0;130;180;0;0;149;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;0;114;0;0;274;0;0;10;0
FPS073;0;0;0;17;0;59;22;0;0;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;352;0;23;0;16;0;0;0;0;0;0;0;0;7;0;85;545;0;65;19;314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;2532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;15;0;0;150;86;0;180;0;0;0;24;0;0;14;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467;0;0;0;389;354;0;0;35;0
FPS074;0;0;0;5;0;169;73;0;0;0;0;0;0;0;0;0;0;62;0;49;0;0;0;0;37;0;0;0;6;0;57;0;0;0;0;0;0;0;0;77;580;0;103;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2375;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;98;161;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318;0;0;0;85;345;358;0;20;0
FPS075;0;0;0;0;69;0;0;0;0;0;0;0;0;0;12;0;0;309;0;0;0;3;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;98;190;0;131;6;0;0;0;0;0;0;8;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6067;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;125;0;0;336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;0;0;152;196;0;0;0;149;0;0;6;0
